,max|equal|moderator,max|equal|additive,max|sig_up|moderator,max|sig_up|additive,max|conv_up|moderator,max|conv_up|additive,mean|equal|moderator,mean|equal|additive,mean|sig_up|moderator,mean|sig_up|additive,mean|conv_up|moderator,mean|conv_up|additive,w70_socs|equal|moderator,w70_socs|equal|additive,w70_socs|sig_up|moderator,w70_socs|sig_up|additive,w70_socs|conv_up|moderator,w70_socs|conv_up|additive,w70_land|equal|moderator,w70_land|equal|additive,w70_land|sig_up|moderator,w70_land|sig_up|additive,w70_land|conv_up|moderator,w70_land|conv_up|additive,pctnorm_mean|equal|moderator,pctnorm_mean|equal|additive,pctnorm_mean|sig_up|moderator,pctnorm_mean|sig_up|additive,pctnorm_mean|conv_up|moderator,pctnorm_mean|conv_up|additive
max|equal|moderator,1.0,0.9704,0.9905,0.9568,0.9868,0.95,0.9971,0.9612,0.9785,0.9366,0.9893,0.9475,0.985,0.9469,0.9442,0.9009,0.9902,0.9444,0.996,0.9622,0.9887,0.9469,0.9803,0.9411,0.9027,0.8847,0.9162,0.8948,0.8943,0.8701
max|equal|additive,0.9704,1.0,0.9541,0.9884,0.9595,0.9832,0.9651,0.9922,0.9383,0.9673,0.9597,0.9803,0.9501,0.9796,0.8986,0.9343,0.9582,0.9789,0.966,0.9897,0.9515,0.9755,0.9526,0.9705,0.8987,0.9104,0.9065,0.9232,0.8887,0.8993
max|sig_up|moderator,0.9905,0.9541,1.0,0.9567,0.9612,0.9177,0.9915,0.9476,0.993,0.9394,0.9675,0.918,0.9887,0.9416,0.9681,0.9119,0.9745,0.9201,0.9843,0.943,0.9943,0.9416,0.9527,0.9062,0.8577,0.8379,0.8745,0.8504,0.848,0.8213
max|sig_up|additive,0.9568,0.9884,0.9567,1.0,0.9312,0.9593,0.9545,0.989,0.9448,0.9838,0.9341,0.9632,0.9476,0.9844,0.9129,0.959,0.9374,0.9669,0.9501,0.9799,0.95,0.984,0.9222,0.9475,0.8574,0.8693,0.8667,0.8845,0.846,0.8578
max|conv_up|moderator,0.9868,0.9595,0.9612,0.9312,1.0,0.9644,0.9813,0.9483,0.9448,0.9076,0.9971,0.9571,0.9627,0.9281,0.9016,0.864,0.9905,0.9474,0.9856,0.9541,0.9616,0.9239,0.9961,0.958,0.9367,0.9198,0.9469,0.9264,0.9311,0.9078
max|conv_up|additive,0.95,0.9832,0.9177,0.9593,0.9644,1.0,0.9416,0.9777,0.8966,0.9394,0.9589,0.9929,0.9195,0.9583,0.8475,0.8965,0.9501,0.9849,0.9477,0.9806,0.9167,0.9544,0.9597,0.9904,0.9255,0.9406,0.9297,0.9499,0.9181,0.9363
mean|equal|moderator,0.9971,0.9651,0.9915,0.9545,0.9813,0.9416,1.0,0.961,0.9868,0.9401,0.9887,0.9432,0.9925,0.9509,0.9569,0.9085,0.9924,0.9427,0.9956,0.9588,0.9924,0.9462,0.9773,0.9346,0.8991,0.88,0.9142,0.8914,0.8901,0.8643
mean|equal|additive,0.9612,0.9922,0.9476,0.989,0.9483,0.9777,0.961,1.0,0.9381,0.9819,0.9526,0.9856,0.9501,0.9906,0.9021,0.9521,0.9534,0.9864,0.9591,0.9924,0.9473,0.9859,0.9438,0.9728,0.8932,0.9057,0.9012,0.9196,0.8825,0.8958
mean|sig_up|moderator,0.9785,0.9383,0.993,0.9448,0.9448,0.8966,0.9868,0.9381,1.0,0.9392,0.958,0.9028,0.9934,0.9411,0.9853,0.9214,0.9688,0.9087,0.9754,0.9293,0.9912,0.9321,0.9395,0.8876,0.8412,0.8191,0.86,0.8334,0.8307,0.8008
mean|sig_up|additive,0.9366,0.9673,0.9394,0.9838,0.9076,0.9394,0.9401,0.9819,0.9392,1.0,0.916,0.955,0.9412,0.9872,0.9163,0.9807,0.9219,0.9653,0.9328,0.9711,0.936,0.9883,0.9017,0.9377,0.8389,0.851,0.8483,0.8669,0.8266,0.8405
mean|conv_up|moderator,0.9893,0.9597,0.9675,0.9341,0.9971,0.9589,0.9887,0.9526,0.958,0.916,1.0,0.9565,0.9739,0.9359,0.9193,0.8766,0.9964,0.9495,0.9903,0.9559,0.9706,0.9285,0.9956,0.9543,0.9342,0.9162,0.946,0.9241,0.9276,0.9028
mean|conv_up|additive,0.9475,0.9803,0.918,0.9632,0.9571,0.9929,0.9432,0.9856,0.9028,0.955,0.9565,1.0,0.9246,0.9691,0.8578,0.915,0.9499,0.9936,0.9472,0.9849,0.9193,0.9669,0.9545,0.9928,0.9214,0.9353,0.9261,0.9455,0.9131,0.9309
w70_socs|equal|moderator,0.985,0.9501,0.9887,0.9476,0.9627,0.9195,0.9925,0.9501,0.9934,0.9412,0.9739,0.9246,1.0,0.9542,0.9798,0.925,0.985,0.9312,0.9798,0.9395,0.9841,0.9331,0.9553,0.9089,0.8726,0.8524,0.8894,0.8651,0.863,0.8355
w70_socs|equal|additive,0.9469,0.9796,0.9416,0.9844,0.9281,0.9583,0.9509,0.9906,0.9411,0.9872,0.9359,0.9691,0.9542,1.0,0.9206,0.9746,0.9434,0.9809,0.9412,0.9732,0.9359,0.9754,0.9202,0.9478,0.8668,0.8807,0.876,0.8959,0.8558,0.8699
w70_socs|sig_up|moderator,0.9442,0.8986,0.9681,0.9129,0.9016,0.8475,0.9569,0.9021,0.9853,0.9163,0.9193,0.8578,0.9798,0.9206,1.0,0.9261,0.9398,0.8728,0.9348,0.8829,0.958,0.8918,0.8899,0.8321,0.7852,0.7607,0.8059,0.7764,0.7741,0.7414
w70_socs|sig_up|additive,0.9009,0.9343,0.9119,0.959,0.864,0.8965,0.9085,0.9521,0.9214,0.9807,0.8766,0.915,0.925,0.9746,0.9261,1.0,0.8912,0.9356,0.891,0.9278,0.9006,0.9495,0.8518,0.8853,0.7852,0.7985,0.7957,0.8159,0.7728,0.7867
w70_socs|conv_up|moderator,0.9902,0.9582,0.9745,0.9374,0.9905,0.9501,0.9924,0.9534,0.9688,0.9219,0.9964,0.9499,0.985,0.9434,0.9398,0.8912,1.0,0.9494,0.9875,0.9502,0.9737,0.9271,0.9859,0.9419,0.9218,0.9034,0.9351,0.9126,0.9144,0.8891
w70_socs|conv_up|additive,0.9444,0.9789,0.9201,0.9669,0.9474,0.9849,0.9427,0.9864,0.9087,0.9653,0.9495,0.9936,0.9312,0.9809,0.8728,0.9356,0.9494,1.0,0.9407,0.9781,0.9178,0.967,0.942,0.9794,0.9079,0.9235,0.9133,0.9347,0.8992,0.9183
w70_land|equal|moderator,0.996,0.966,0.9843,0.9501,0.9856,0.9477,0.9956,0.9591,0.9754,0.9328,0.9903,0.9472,0.9798,0.9412,0.9348,0.891,0.9875,0.9407,1.0,0.9652,0.9912,0.9484,0.9863,0.9456,0.9097,0.891,0.9233,0.9011,0.9013,0.8759
w70_land|equal|additive,0.9622,0.9897,0.943,0.9799,0.9541,0.9806,0.9588,0.9924,0.9293,0.9711,0.9559,0.9849,0.9395,0.9732,0.8829,0.9278,0.9502,0.9781,0.9652,1.0,0.9485,0.9867,0.954,0.9839,0.9041,0.9142,0.9112,0.9269,0.8938,0.905
w70_land|sig_up|moderator,0.9887,0.9515,0.9943,0.95,0.9616,0.9167,0.9924,0.9473,0.9912,0.936,0.9706,0.9193,0.9841,0.9359,0.958,0.9006,0.9737,0.9178,0.9912,0.9485,1.0,0.9456,0.9615,0.9131,0.8676,0.8468,0.8846,0.8595,0.8578,0.8297
w70_land|sig_up|additive,0.9469,0.9755,0.9416,0.984,0.9239,0.9544,0.9462,0.9859,0.9321,0.9883,0.9285,0.9669,0.9331,0.9754,0.8918,0.9495,0.9271,0.967,0.9484,0.9867,0.9456,1.0,0.923,0.9599,0.8634,0.874,0.8715,0.8883,0.8516,0.8647
w70_land|conv_up|moderator,0.9803,0.9526,0.9527,0.9222,0.9961,0.9597,0.9773,0.9438,0.9395,0.9017,0.9956,0.9545,0.9553,0.9202,0.8899,0.8518,0.9859,0.942,0.9863,0.954,0.9615,0.923,1.0,0.9607,0.9423,0.9246,0.9525,0.9312,0.9367,0.9124
w70_land|conv_up|additive,0.9411,0.9705,0.9062,0.9475,0.958,0.9904,0.9346,0.9728,0.8876,0.9377,0.9543,0.9928,0.9089,0.9478,0.8321,0.8853,0.9419,0.9794,0.9456,0.9839,0.9131,0.9599,0.9607,1.0,0.9305,0.9414,0.934,0.9503,0.9228,0.938
pctnorm_mean|equal|moderator,0.9027,0.8987,0.8577,0.8574,0.9367,0.9255,0.8991,0.8932,0.8412,0.8389,0.9342,0.9214,0.8726,0.8668,0.7852,0.7852,0.9218,0.9079,0.9097,0.9041,0.8676,0.8634,0.9423,0.9305,1.0,0.9867,0.9978,0.9846,0.9984,0.9805
pctnorm_mean|equal|additive,0.8847,0.9104,0.8379,0.8693,0.9198,0.9406,0.88,0.9057,0.8191,0.851,0.9162,0.9353,0.8524,0.8807,0.7607,0.7985,0.9034,0.9235,0.891,0.9142,0.8468,0.874,0.9246,0.9414,0.9867,1.0,0.9828,0.9966,0.9844,0.9964
pctnorm_mean|sig_up|moderator,0.9162,0.9065,0.8745,0.8667,0.9469,0.9297,0.9142,0.9012,0.86,0.8483,0.946,0.9261,0.8894,0.876,0.8059,0.7957,0.9351,0.9133,0.9233,0.9112,0.8846,0.8715,0.9525,0.934,0.9978,0.9828,1.0,0.9838,0.9943,0.9741
pctnorm_mean|sig_up|additive,0.8948,0.9232,0.8504,0.8845,0.9264,0.9499,0.8914,0.9196,0.8334,0.8669,0.9241,0.9455,0.8651,0.8959,0.7764,0.8159,0.9126,0.9347,0.9011,0.9269,0.8595,0.8883,0.9312,0.9503,0.9846,0.9966,0.9838,1.0,0.9801,0.991
pctnorm_mean|conv_up|moderator,0.8943,0.8887,0.848,0.846,0.9311,0.9181,0.8901,0.8825,0.8307,0.8266,0.9276,0.9131,0.863,0.8558,0.7741,0.7728,0.9144,0.8992,0.9013,0.8938,0.8578,0.8516,0.9367,0.9228,0.9984,0.9844,0.9943,0.9801,1.0,0.9805
pctnorm_mean|conv_up|additive,0.8701,0.8993,0.8213,0.8578,0.9078,0.9363,0.8643,0.8958,0.8008,0.8405,0.9028,0.9309,0.8355,0.8699,0.7414,0.7867,0.8891,0.9183,0.8759,0.905,0.8297,0.8647,0.9124,0.938,0.9805,0.9964,0.9741,0.991,0.9805,1.0
